RegionName,State,Metro,avg_rent
Cambridge,MA,"Boston-Cambridge-Newton, MA-NH",2830.61859995065
Trumbull,CT,"Bridgeport-Stamford-Norwalk, CT",2829.0
South Orange,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2824.0878803110027
Stevenson Ranch,CA,"Los Angeles-Long Beach-Anaheim, CA",2822.5283136494336
San Lorenzo,CA,"San Francisco-Oakland-Berkeley, CA",2819.516886600516
Boston,MA,"Boston-Cambridge-Newton, MA-NH",2818.256244777905
Arroyo Grande,CA,"San Luis Obispo-Paso Robles, CA",2816.666666666667
Jensen Beach,FL,"Port St. Lucie, FL",2814.78110688594
Uniondale,NY,"New York-Newark-Jersey City, NY-NJ-PA",2812.0568711234973
Fort Lee,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2810.8891426300625
Amherst,MA,"Springfield, MA",2808.873801318713
Bainbridge Island,WA,"Bremerton-Silverdale-Port Orchard, WA",2808.5848203514165
Nolensville,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",2801.5757243903645
Boonton,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2800.0
Emeryville,CA,"San Francisco-Oakland-Berkeley, CA",2798.5969658337203
Dresher,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2798.255662630812
Whitefish,MT,"Kalispell, MT",2797.2260922095525
Santa Cruz,CA,"Santa Cruz-Watsonville, CA",2797.156897373022
Toms River,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2796.7360074999424
Berkeley,CA,"San Francisco-Oakland-Berkeley, CA",2795.862497069094
Signal Hill,CA,"Los Angeles-Long Beach-Anaheim, CA",2791.784206353847
Lyndhurst,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2783.802586067487
Olney,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2782.7049271373917
San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",2781.3572419959705
Kailua,HI,"Urban Honolulu, HI",2779.5333943521528
Westminster,CA,"Los Angeles-Long Beach-Anaheim, CA",2778.483713174709
